Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur;Lufttrykk i havnivå
Kristiansund Lufthavn;SN64330;11.06.2021 01:00;15,4;1007,5
Kristiansund Lufthavn;SN64330;11.06.2021 02:00;16;1006,3
Kristiansund Lufthavn;SN64330;11.06.2021 03:00;17,4;1005,6
Kristiansund Lufthavn;SN64330;11.06.2021 04:00;17,5;1005,4
Kristiansund Lufthavn;SN64330;11.06.2021 05:00;17,8;1004,2
Kristiansund Lufthavn;SN64330;11.06.2021 06:00;18,8;1003,5
Kristiansund Lufthavn;SN64330;11.06.2021 07:00;18,9;1002,5
Kristiansund Lufthavn;SN64330;11.06.2021 08:00;17,8;1003,1
Kristiansund Lufthavn;SN64330;11.06.2021 09:00;15,4;1004,1
Kristiansund Lufthavn;SN64330;11.06.2021 10:00;13,7;1003,8
Kristiansund Lufthavn;SN64330;11.06.2021 11:00;13,4;1004,7
Kristiansund Lufthavn;SN64330;11.06.2021 12:00;12,9;1004,5
Kristiansund Lufthavn;SN64330;11.06.2021 13:00;13,1;1004,4
Kristiansund Lufthavn;SN64330;11.06.2021 14:00;13,1;1004,1
Kristiansund Lufthavn;SN64330;11.06.2021 15:00;13,2;1003,7
Kristiansund Lufthavn;SN64330;11.06.2021 16:00;13,2;1003,4
Kristiansund Lufthavn;SN64330;11.06.2021 17:00;12,9;1003,2
Kristiansund Lufthavn;SN64330;11.06.2021 18:00;12,5;1003,1
Kristiansund Lufthavn;SN64330;11.06.2021 19:00;12,3;1003,3
Kristiansund Lufthavn;SN64330;11.06.2021 20:00;11,7;1003,7
Kristiansund Lufthavn;SN64330;11.06.2021 21:00;11,1;1004
Kristiansund Lufthavn;SN64330;11.06.2021 22:00;10,6;1004,5
Kristiansund Lufthavn;SN64330;11.06.2021 23:00;9,9;1004,9
Kristiansund Lufthavn;SN64330;12.06.2021 00:00;10;1004,9
Kristiansund Lufthavn;SN64330;12.06.2021 01:00;9,7;1005
Kristiansund Lufthavn;SN64330;12.06.2021 02:00;9,7;1005
Kristiansund Lufthavn;SN64330;12.06.2021 03:00;10,2;1004,8
Kristiansund Lufthavn;SN64330;12.06.2021 04:00;10,3;1004,6
Kristiansund Lufthavn;SN64330;12.06.2021 05:00;10,6;1004,5
